CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
,,REGIÓN: Región Andina,,,,,,,,,,,,
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales,19,5,56,1,51,6,46,1,4,11,13,2
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C.",45,41,54,33,47,15,20,9,11,40,46,45
53897,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C.",18,13,0,11,26,5,9,34,6,17,11,17
90893,UNIVERSIDAD ECCI,"Bogotá, D.C.",121,86,112,67,97,23,70,55,117,77,80,75
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales,1869,1701,898,704,501,202,192,59,41,0,0,0
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal,14,2,24,14,33,14,23,3,31,0,0,0
102327,UNIVERSIDAD DEL QUINDIO,Armenia,62,51,63,26,33,9,70,36,37,36,43,86
102855,UNIVERSIDAD ECCI,"Bogotá, D.C.",392,259,285,195,248,99,214,123,253,145,199,122
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C.",2,0,0,0,0,6,0,1,1,1,0,2
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C.",4,8,8,1,9,1,0,0,0,0,0,0
105652,UNIVERSIDAD ECCI,Medellín,6,41,71,38,49,14,20,29,8,1,2,4
107004,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín,0,245,119,72,161,79,104,91,161,289,401,241
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C.",0,0,18,15,18,8,17,16,6,15,26,60
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,113,62,0,89,338,0,0,1,0,0
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C.",0,0,0,0,0,0,7,0,45,4,21,53
108014,INSTITUCION UNIVERSITARIA EAM,Armenia,0,0,0,0,26,8,21,8,13,7,0,0
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,174,289,197,223,217,162,156,241,249
