CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
,,REGIÓN: Región Andina,,,,,,,,,,,,
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales,28,26,61,54,76,57,73,58,45,31,34,27
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C.",212,192,181,155,164,123,83,71,42,68,87,102
53897,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C.",17,23,0,23,31,28,16,22,11,18,15,28
90893,UNIVERSIDAD ECCI,"Bogotá, D.C.",323,271,305,276,262,221,265,272,304,322,327,349
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales,2290,2555,1887,2131,1100,1029,592,608,235,215,68,65
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal,55,45,57,52,69,54,65,52,62,52,70,63
102327,UNIVERSIDAD DEL QUINDIO,Armenia,153,100,126,128,154,124,172,168,178,171,222,227
102855,UNIVERSIDAD ECCI,"Bogotá, D.C.",883,886,945,878,860,646,828,835,851,808,844,760
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C.",71,80,79,78,59,60,59,55,51,73,111,122
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C.",22,24,27,23,16,8,11,5,0,0,0,0
105652,UNIVERSIDAD ECCI,Medellín,73,73,120,116,114,105,83,95,74,54,53,30
107004,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín,0,172,206,217,313,339,383,386,448,443,480,488
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C.",0,0,18,28,34,31,28,36,31,35,46,95
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,73,96,142,172,225,239,92,93,61,60
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C.",0,0,0,0,0,0,7,5,50,51,101,120
108014,INSTITUCION UNIVERSITARIA EAM,Armenia,0,0,0,0,43,40,52,47,44,45,35,33
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,66,256,397,481,624,452,552,402,533
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0,0,0,32,31,31,57,57,28,28,23,23
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Neiva,0,0,0,30,90,116,113,149,173,240,170,215
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Sogamoso,0,0,0,51,47,80,108,167,138,170,116,139
109017,UNIDADES TECNOLOGICAS DE SANTANDER,Bucaramanga,0,0,0,0,68,87,153,217,247,352,357,345
109065,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,0,0,0,0,43,74,128,159,220,252,218,314
109236,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Bogotá, D.C.",0,0,0,0,0,103,199,328,422,520,443,403
109448,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,Facatativá,0,0,0,0,0,19,27,38,38,48,38,25
109789,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Bogotá, D.C.",0,0,0,0,0,0,0,41,129,131,308,358
110020,FUNDACION UNIVERSITARIA LOS LIBERTADORES,"Bogotá, D.C.",0,0,0,0,0,0,0,1,10,30,47,69
110051,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,0,0,0,0,0,0,0,0,30,60,75,75
110055,UNIVERSIDAD DE CALDAS,Manizales,0,0,0,0,0,0,0,0,26,26,23,23
110139,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,San José de Cúcuta,0,0,0,0,0,0,0,0,31,79,102,103
110167,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Dosquebradas,0,0,0,0,0,0,0,0,0,0,23,23
110214,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,0,0,0,0,0,0,0,0,25,51,75,131
110219,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Bogotá, D.C.",0,0,0,0,0,0,0,52,82,141,151,226
,TOTAL REGIÓN Región Andina,,4127,4447,4085,4434,3972,3944,4208,4787,4569,5159,5125,5574
,,,,,,,,,,,,,,
,,REGIÓN: Región Caribe,,,,,,,,,,,,
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,Barranquilla,67,44,71,47,58,61,113,112,122,92,85,65
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Cartagena de Indias,230,199,205,176,171,95,127,114,124,122,139,145
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Cartagena de Indias,0,0,0,73,98,133,127,199,169,170,85,169
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Barranquilla,0,0,0,25,52,107,102,127,115,140,95,95
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Riohacha,0,0,0,0,35,70,100,100,96,131,92,127
,TOTAL REGIÓN Región Caribe,,297,243,276,321,414,466,569,652,626,655,496,601
,,,,,,,,,,,,,,
,,REGIÓN: Región Orinoquía,,,,,,,,,,,,
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,0,0,0,49,43,43,91,125,49,95,88,111
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,0,0,0,0,0,0,74,104,78,78,44,87
,TOTAL REGIÓN Región Orinoquía,,0,0,0,49,43,43,165,229,127,173,132,198
,,,,,,,,,,,,,,
,,REGIÓN: Región Pacífico,,,,,,,,,,,,
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Santiago de Cali,184,162,161,152,127,104,102,119,133,124,121,154
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Santiago de Cali,92,84,83,68,56,32,40,42,27,13,17,11
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Santiago de Cali,40,36,36,31,35,25,27,28,23,30,30,0
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,82,82,89,92,73,55,39,29,28,8,11,1
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,54,185,314,364,508,619,497,501,212,180
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,0,0,0,30,61,96,97,97,75,81,42,65
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,22,76,78,74,74,67,64,0,0
108949,UNIVERSIDAD DEL VALLE,Palmira,0,0,0,0,0,29,0,57,70,101,103,121
109003,UNIVERSIDAD DEL VALLE,Cartago,0,0,0,0,0,18,28,26,49,64,73,85
109528,UNIVERSIDAD DEL VALLE,Buenaventura,0,0,0,0,0,19,16,11,45,52,73,84
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,0,0,0,0,0,0,0,11,81,154,90,109
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,0,0,0,0,0,0,0,19,42,42,39,58
110176,UNIVERSIDAD DEL VALLE,Tuluá,0,0,0,0,0,0,0,42,31,26,21,19
110871,UNIVERSIDAD DEL VALLE,Zarzal,0,0,0,0,0,0,0,0,30,24,46,35
,TOTAL REGIÓN Región Pacífico,,398,364,423,580,742,820,931,1174,1198,1284,878,922
,,,,,,,,,,,,,,
