CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA,SUMA_INSCRITOS_2022_2024,SUMA_ADMITIDOS_2022_2024,SUMA_PRIMER_CURSO_2022_2024,SUMA_PRIMER_CURSO_2023_2024
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C.",193.0,192.0,150.0,115.0
53897,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C.",90.0,75.0,58.0,54.0
90893,UNIVERSIDAD ECCI,"Bogotá, D.C.",439.0,438.0,439.0,253.0
102855,UNIVERSIDAD ECCI,"Bogotá, D.C.",987.0,986.0,966.0,562.0
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C.",5.0,6.0,216.0,159.0
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C.",258.0,253.0,226.0,214.0
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C.",153.0,153.0,154.0,105.0
109236,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Bogotá, D.C.",1079.0,714.0,523.0,302.0
109789,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Bogotá, D.C.",1143.0,845.0,772.0,607.0
110020,FUNDACION UNIVERSITARIA LOS LIBERTADORES,"Bogotá, D.C.",163.0,142.0,123.0,91.0
110219,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Bogotá, D.C.",1207.0,615.0,441.0,354.0
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales,55.0,55.0,54.0,39.0
102327,UNIVERSIDAD DEL QUINDIO,Armenia,345.0,422.0,363.0,275.0
105652,UNIVERSIDAD ECCI,Medellín,34.0,34.0,26.0,19.0
107004,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín,1855.0,914.0,743.0,481.0
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,1213.0,873.0,685.0,489.0
109065,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,960.0,522.0,355.0,227.0
110055,UNIVERSIDAD DE CALDAS,Manizales,254.0,109.0,51.0,25.0
110167,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Dosquebradas,188.0,77.0,41.0,41.0
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Sogamoso,446.0,171.0,144.0,82.0
109017,UNIDADES TECNOLOGICAS DE SANTANDER,Bucaramanga,580.0,469.0,562.0,345.0
109448,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,Facatativá,45.0,45.0,45.0,33.0
110051,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,648.0,170.0,144.0,84.0
110139,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,San José de Cúcuta,391.0,250.0,136.0,57.0
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,263.0,164.0,115.0,70.0
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,401.0,141.0,91.0,66.0
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,Barranquilla,17.0,16.0,104.0,66.0
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Cartagena de Indias,326.0,307.0,189.0,139.0
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Cartagena de Indias,561.0,240.0,183.0,152.0
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Barranquilla,557.0,169.0,121.0,71.0
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Riohacha,566.0,199.0,128.0,93.0
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Santiago de Cali,260.0,253.0,212.0,166.0
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Santiago de Cali,47.0,26.0,26.0,18.0
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Santiago de Cali,26.0,26.0,21.0,8.0
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,247.0,99.0,78.0,78.0
108949,UNIVERSIDAD DEL VALLE,Palmira,193.0,204.0,197.0,132.0
109003,UNIVERSIDAD DEL VALLE,Cartago,152.0,152.0,145.0,96.0
109528,UNIVERSIDAD DEL VALLE,Buenaventura,167.0,169.0,168.0,115.0
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,639.0,363.0,258.0,115.0
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,351.0,155.0,78.0,53.0
110176,UNIVERSIDAD DEL VALLE,Tuluá,53.0,56.0,51.0,51.0
110871,UNIVERSIDAD DEL VALLE,Zarzal,72.0,74.0,88.0,58.0
110178,UNIVERSIDAD DEL VALLE,Santiago de Cali,274.0,361.0,361.0,164.0
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal,31.0,31.0,138.0,99.0
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Neiva,511.0,295.0,229.0,104.0
110214,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,682.0,298.0,187.0,136.0
