CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,MUNICIPIO_OFERTA_PROGRAMA
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C."
53897,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C."
90893,UNIVERSIDAD ECCI,"Bogotá, D.C."
102855,UNIVERSIDAD ECCI,"Bogotá, D.C."
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C."
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C."
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C."
109236,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Bogotá, D.C."
109789,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Bogotá, D.C."
110020,FUNDACION UNIVERSITARIA LOS LIBERTADORES,"Bogotá, D.C."
110219,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Bogotá, D.C."
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales
102327,UNIVERSIDAD DEL QUINDIO,Armenia
105652,UNIVERSIDAD ECCI,Medellín
107004,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín
109065,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín
110055,UNIVERSIDAD DE CALDAS,Manizales
110167,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Dosquebradas
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Sogamoso
109017,UNIDADES TECNOLOGICAS DE SANTANDER,Bucaramanga
109448,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,Facatativá
110051,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón
110139,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,San José de Cúcuta
108117,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio
110192,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio
91404,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,Barranquilla
105649,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Cartagena de Indias
108049,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Cartagena de Indias
108120,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Barranquilla
108601,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Riohacha
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Santiago de Cali
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Santiago de Cali
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Santiago de Cali
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto
108949,UNIVERSIDAD DEL VALLE,Palmira
109003,UNIVERSIDAD DEL VALLE,Cartago
109528,UNIVERSIDAD DEL VALLE,Buenaventura
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán
110176,UNIVERSIDAD DEL VALLE,Tuluá
110871,UNIVERSIDAD DEL VALLE,Zarzal
110178,UNIVERSIDAD DEL VALLE,Santiago de Cali
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Neiva
110214,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué
