CODIGO_SNIES_PROGRAMA,NOMBRE_PROGRAMA,INSTITUCION,MUNICIPIO,REGION,SIMILITUD_RATIO,SIMILITUD_PARTIAL,SIMILITUD_TOKEN_SORT,SIMILITUD_TOKEN_SET,SIMILITUD_PROMEDIO
91404,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,INSTITUCIÓN UNIVERSITARIA DE BARRANQUILLA - IUB,Barranquilla,Región Norte,96.07843137254902,96.07843137254902,96.07843137254902,96.07843137254902,96.078431372549
101649,TECNOLOGÍA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,Espinal,Región Sur Oriente,94.11764705882352,94.11764705882352,94.11764705882352,94.11764705882354,94.11764705882352
109789,TECNOLOGÍA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,"Bogotá, D.C.",Región Bogotá,94.11764705882352,94.11764705882352,94.11764705882352,94.11764705882354,94.11764705882352
2980,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,UNIVERSIDAD AUTONOMA DE MANIZALES,Manizales,Región Centro Occidente,86.66666666666667,85.71428571428572,86.66666666666667,100.0,90.47619047619048
108129,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Sogamoso,Región Centro Oriente,86.66666666666667,85.71428571428572,86.66666666666667,100.0,90.47619047619048
108128,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Pasto,Región Sur Occidente,86.66666666666667,85.71428571428572,86.66666666666667,100.0,90.47619047619048
108117,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,Región Centro Oriente,86.66666666666667,85.71428571428572,86.66666666666667,100.0,90.47619047619048
107004,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA,INSTITUTO TECNOLOGICO METROPOLITANO,Medellín,Región Centro Occidente,85.71428571428572,97.5,85.71428571428572,85.71428571428571,88.07142857142857
110871,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DEL VALLE,Zarzal,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
110176,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DEL VALLE,Tuluá,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
109528,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DEL VALLE,Buenaventura,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
109003,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DEL VALLE,Cartago,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
108949,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DEL VALLE,Palmira,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
101749,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Santiago de Cali,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
12198,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Santiago de Cali,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
109236,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,"Bogotá, D.C.",Región Bogotá,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
110178,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD DEL VALLE,Santiago de Cali,Región Sur Occidente,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
90893,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,UNIVERSIDAD ECCI,"Bogotá, D.C.",Región Bogotá,82.75862068965517,82.53968253968253,82.75862068965517,100.0,87.8872468527641
102855,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,UNIVERSIDAD ECCI,"Bogotá, D.C.",Región Bogotá,89.10891089108911,88.0,77.22772277227723,89.10891089108911,85.32277227722773
108120,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Barranquilla,Región Norte,84.44444444444444,82.85714285714285,84.44444444444444,84.44444444444444,84.12698412698411
107757,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,Región Centro Oriente,84.44444444444444,82.85714285714285,84.44444444444444,84.44444444444444,84.12698412698411
91153,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Manizales,Región Centro Occidente,84.44444444444444,82.85714285714285,84.44444444444444,84.44444444444444,84.12698412698411
103233,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,"Bogotá, D.C.",Región Bogotá,84.44444444444444,82.85714285714285,84.44444444444444,84.44444444444444,84.12698412698411
107315,TECNOLOGIA EN CONTROL Y AUTOMATIZACION INDUSTRIAL,UNIVERSIDAD COOPERATIVA DE COLOMBIA,"Bogotá, D.C.",Región Bogotá,78.0,75.51020408163265,88.0,88.63636363636364,83.69294990723562
53897,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,UNIVERSIDAD DE SAN BUENAVENTURA,"Bogotá, D.C.",Región Bogotá,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
108387,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,Región Sur Occidente,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
107837,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,Región Sur Occidente,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
108126,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Neiva,Región Sur Oriente,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
108049,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Cartagena de Indias,Región Norte,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
108119,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,Región Sur Oriente,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
108044,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,Región Centro Occidente,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
108014,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,INSTITUCION UNIVERSITARIA EAM,Armenia,Región Centro Occidente,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
107986,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,"Bogotá, D.C.",Región Bogotá,82.22222222222221,80.0,82.22222222222221,82.22222222222223,81.77777777777777
110020,TECNOLOGIA EN ROBOTICA Y AUTOMATIZACION INDUSTRIAL,FUNDACION UNIVERSITARIA LOS LIBERTADORES,"Bogotá, D.C.",Región Bogotá,77.22772277227723,76.0,77.22772277227723,89.10891089108911,80.54653465346534
105652,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDURSTIAL,UNIVERSIDAD ECCI,Medellín,Región Centro Occidente,87.12871287128714,86.0,75.24752475247524,75.24752475247524,79.77425742574258
105344,TECNOLOGÍA EN ELECTRÓNICA INDUSTRIAL,FUNDACION UNIVERSITARIA COLOMBO GERMANA,"Bogotá, D.C.",Región Bogotá,78.16091954022988,79.36507936507937,78.16091954022988,78.16091954022988,78.40175150519978
17759,TECNOLOGIA EN ELECTRONICA,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,"Bogotá, D.C.",Región Bogotá,65.78947368421053,75.55555555555556,65.78947368421053,100.0,78.00584795321637
102327,TECNOLOGIA EN INSTRUMENTACIÓN ELECTRONICA,UNIVERSIDAD DEL QUINDIO,Armenia,Región Centro Occidente,71.73913043478262,81.4814814814815,69.56521739130434,75.75757575757575,74.24096032791685
110055,TECNOLOGIA EN ELECTRONICA  (Tecnólogo en Electrónica Industrial.),UNIVERSIDAD DE CALDAS,Manizales,Región Centro Occidente,74.13793103448276,72.72727272727273,71.30434782608695,75.0,73.2643451001772
103358,TECNOLOGÍA EN SISTEMAS ELECTRÓNICOS Y DE AUTOMATIZACIÓN,UNIVERSIDAD AUTONOMA DE OCCIDENTE,Santiago de Cali,Región Sur Occidente,60.37735849056604,63.26530612244898,77.35849056603774,77.35849056603774,71.14362726222565
103049,TECNOLOGÌA EN INSTRUMENTACIÒN ELECTRÒNICA,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Santiago de Cali,Región Sur Occidente,67.3913043478261,76.54320987654322,65.21739130434783,65.21739130434783,67.91733762748255
110192,TECNOLOGIA EN MANTENIMIENTO ELECTRONICO E INSTRUMENTAL INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Villavicencio,Región Centro Oriente,74.13793103448276,75.51020408163265,62.06896551724138,64.0,67.75031667839549
110219,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,"Bogotá, D.C.",Región Bogotá,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
110051,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Girón,Región Centro Oriente,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
110139,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,San José de Cúcuta,Región Centro Oriente,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
109864,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Santiago de Cali,Región Sur Occidente,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
110083,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Popayán,Región Sur Occidente,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
110167,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Dosquebradas,Región Centro Occidente,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
110214,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Ibagué,Región Sur Oriente,67.25663716814158,64.51612903225806,65.48672566371681,65.48672566371681,65.64658863831002
108601,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Riohacha,Región Norte,70.6896551724138,71.42857142857143,58.62068965517242,60.3448275862069,64.11330049261083
109065,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,Medellín,Región Centro Occidente,70.6896551724138,71.42857142857143,58.62068965517242,60.3448275862069,64.11330049261083
109017,TECNOLOGÍA EN IMPLEMENTACIÓN DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,UNIDADES TECNOLOGICAS DE SANTANDER,Bucaramanga,Región Centro Oriente,68.37606837606837,63.1578947368421,58.11965811965811,59.82905982905983,61.69140800719748
105649,TECNOLOGÍA EN CONTROL ELECTRÓNICO DE PROCESOS,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Cartagena de Indias,Región Norte,60.41666666666667,62.92134831460674,58.33333333333333,58.333333333333336,59.667602996254686
