CODIGO_DE_LA_INSTITUCION,IES_PADRE,INSTITUCION_DE_EDUCACION_SUPERIOR_IES,PRINCIPAL_O_SECCIONAL,ID_SECTOR_IES,SECTOR_IES,ID_CARACTER,CARACTER_IES,CODIGO_DEL_DEPARTAMENTO_IES,DEPARTAMENTO_DE_DOMICILIO_DE_LA_IES,CODIGO_DEL_MUNICIPIO,MUNICIPIO_DE_DOMICILIO_DE_LA_IES,CODIGO_SNIES_PROGRAMA,PROGRAMA_ACADEMICO,ID_NIVEL_ACADEMICO,NIVEL_ACADEMICO,ID_NIVEL_DE_FORMACION,NIVEL_DE_FORMACION,ID_METODOLOGIA,METODOLOGIA,ID_AREA,AREA_DE_CONOCIMIENTO,ID_NUCLEO,NUCLEO_BASICO_DEL_CONOCIMIENTO_NBC,ID_CINE_CAMPO_AMPLIO,DESC_CINE_CAMPO_AMPLIO,ID_CINE_CAMPO_ESPECIFICO,DESC_CINE_CAMPO_ESPECIFICO,ID_CINE_CODIGO_DETALLADO,DESC_CINE_CODIGO_DETALLADO,CODIGO_DEL_DEPARTAMENTO_PROGRAMA,DEPARTAMENTO_DE_OFERTA_DEL_PROGRAMA,CODIGO_DEL_MUNICIPIO_PROGRAMA,MUNICIPIO_DE_OFERTA_DEL_PROGRAMA,ID_SEXO,SEXO,ANO,SEMESTRE,GRADUADOS
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",105377,MAESTRA EN ECONOMÍA DE LA SALUD,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,6,"ECONOMÍA, ADMINISTRACIÓN, CONTADURÍA Y AFINES",611,ECONOMÍA,3,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,311,ECONOMÍA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,1,1
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",975,ESPECIALIZACION EN NEUMOLOGIA,2,POSGRADO,10,ESPECIALIZACIÓN MÉDICO QUIRÚRGICA,1,PRESENCIAL,4,CIENCIAS DE LA SALUD,445,MEDICINA,9,SALUD Y BIENESTAR,91,SALUD,912,MEDICINA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,1
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2688,ESPECIALIZACION EN TELEVISION,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,557,"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES",3,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",32,PERIODISMO E INFORMACIÓN,321,"PERIODISMO, COMUNICACIÓN Y REPORTAJES",11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,5
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",4420,ESPECIALIZACION EN ANALISIS QUIMICO INSTRUMENTAL,2,POSGRADO,1,ESPECIALIZACIÓN UNIVERSITARIA,1,PRESENCIAL,9,MATEMÁTICAS Y CIENCIAS NATURALES,939,QUÍMICA Y AFINES,5,"CIENCIAS NATURALES, MATEMÁTICAS Y ESTADÍSTICA",53,CIENCIAS FÍSICAS,531,QUÍMICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,3
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1028,MAESTRIA EN FILOSOFIA,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,568,"FILOSOFÍA, TEOLOGÍA Y AFINES",2,ARTE Y HUMANIDADES,22,HUMANIDADES (EXCEPTO IDIOMAS),223,FILOSOFÍA Y ÉTICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,1,2
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",957,TEOLOGIA,1,PREGRADO,6,UNIVERSITARIA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,568,"FILOSOFÍA, TEOLOGÍA Y AFINES",2,ARTE Y HUMANIDADES,22,HUMANIDADES (EXCEPTO IDIOMAS),223,FILOSOFÍA Y ÉTICA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,1,2
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",979,ESPECIALIZACION EN OFTALMOLOGIA,2,POSGRADO,10,ESPECIALIZACIÓN MÉDICO QUIRÚRGICA,1,PRESENCIAL,4,CIENCIAS DE LA SALUD,445,MEDICINA,9,SALUD Y BIENESTAR,91,SALUD,912,MEDICINA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,1
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2513,ESPECIALIZACION EN ENDOCRINOLOGIA,2,POSGRADO,10,ESPECIALIZACIÓN MÉDICO QUIRÚRGICA,1,PRESENCIAL,4,CIENCIAS DE LA SALUD,445,MEDICINA,9,SALUD Y BIENESTAR,91,SALUD,912,MEDICINA,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,1,1
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",52666,MAESTRÍA EN ESTUDIOS CULTURALES,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,5,CIENCIAS SOCIALES Y HUMANAS,569,"SOCIOLOGÍA, TRABAJO SOCIAL Y AFINES",3,"CIENCIAS SOCIALES, PERIODISMO E INFORMACIÓN",31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,314,"SOCIOLOGÍA, ANTROPOLOGÍA Y ESTUDIOS CULTURALES",11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",1,HOMBRE,2019,1,1
1701,1701,PONTIFICIA UNIVERSIDAD JAVERIANA,PRINCIPAL,2,PRIVADA,4,UNIVERSIDAD,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",104901,MAESTRÍA EN CREACIÓN AUDIOVISUAL,2,POSGRADO,2,MAESTRÍA,1,PRESENCIAL,2,BELLAS ARTES,24,"ARTES PLÁSTICAS, VISUALES Y AFINES",2,ARTE Y HUMANIDADES,21,ARTES,211,TÉCNICAS AUDIOVISUALES Y PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,11,BOGOTÁ D.C.,11001,"BOGOTÁ, D.C.",2,MUJER,2019,1,1
