año,codigo_institucion,institucion,ciudad,valor_institucion,total_nacional
2008,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",90.24,74.2
2008,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",87.23,87.23
2008,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",68.1,73.11
2009,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",92.31,74.68
2009,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",76.32,76.32
2009,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",62.22,73.57
2010,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",94.59,73.81
2010,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",75.31,75.31
2010,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",64.9,70.97
2011,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",64.29,72.94
2011,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",82.81,82.81
2011,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",61.62,72.44
2012,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",83.33,74.75
2012,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",89.87,89.87
2012,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",73.68,73.99
2013,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",100,76.06
2013,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",79.17,79.17
2013,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",56.76,72.57
2014,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",100,74.83
2014,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",88.89,88.89
2014,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",50,70.69
2015,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",83.33,77.99
2015,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",91.3,91.67
2015,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",44.3,67.48
2016,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",79.17,76.61
2016,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",95.65,85.96
2016,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",70,71.29
2016,3715,"FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO","Santiago de Cali",92,92
2017,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",60.71,71.6
2017,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",73.81,66.07
2017,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",63.48,68.05
2017,3715,"FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO","Santiago de Cali",72.73,72.73
2018,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",83.33,69.27
2018,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",82.69,69.89
2018,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",59.52,64.29
2018,3715,"FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO","Santiago de Cali",90,90
2019,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",90,72.51
2019,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",90.24,82.72
2019,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",39.08,62.96
2019,3715,"FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO","Santiago de Cali",71.43,71.43
2020,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",75,62.52
2020,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",84.85,62.07
2020,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",37.27,56.27
2020,3715,"FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO","Santiago de Cali",71.43,71.43
2021,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",85.71,70.33
2021,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",95.45,62.5
2021,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",48,67.61
2021,3715,"FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO","Santiago de Cali",100,100
2022,3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES,","Santiago de Cali",100,68.25
2022,3301,"INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO","Santiago de Cali",88.89,68.97
2022,1203,"UNIVERSIDAD DEL VALLE","Santiago de Cali",50.47,56.9
