CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Manizales,17,5,52,1,50,6,46,1,4,11,13,2
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,TECNOLOGIA EN ELECTRONICA,Región Andina,"Bogotá, D.C.",45,41,52,32,47,15,20,9,10,40,46,45
53897,UNIVERSIDAD DE SAN BUENAVENTURA,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",11,12,0,7,20,3,5,21,4,7,11,17
90893,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",124,88,109,67,91,23,70,56,117,77,80,75
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Manizales,379,589,383,384,260,164,91,36,37,0,0,0
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,TECNOLOGÍA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Andina,Espinal,14,2,24,14,35,15,23,10,31,0,0,0
102327,UNIVERSIDAD DEL QUINDIO,TECNOLOGIA EN INSTRUMENTACIÓN ELECTRONICA,Región Andina,Armenia,55,44,61,22,66,0,77,36,77,36,93,70
102855,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",378,237,281,196,240,99,214,121,254,146,198,122
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",2,0,0,0,0,6,0,1,1,2,0,2
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,TECNOLOGÍA EN ELECTRÓNICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",4,8,8,1,9,1,0,0,0,0,0,0
105652,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDURSTIAL,Región Andina,Medellín,35,36,62,38,42,14,20,28,8,1,3,4
107004,INSTITUTO TECNOLOGICO METROPOLITANO,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA,Región Andina,Medellín,0,222,146,69,178,92,133,111,151,156,185,126
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,TECNOLOGIA EN CONTROL Y AUTOMATIZACION INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,18,13,11,7,13,15,5,14,24,60
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Girón,0,0,91,29,0,58,113,0,0,1,0,0
