CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Manizales,19,5,56,1,51,6,46,1,4,11,13,2
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,TECNOLOGIA EN ELECTRONICA,Región Andina,"Bogotá, D.C.",45,41,54,33,47,15,20,9,11,40,46,45
53897,UNIVERSIDAD DE SAN BUENAVENTURA,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",18,13,0,11,26,5,9,34,6,17,11,17
90893,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",121,86,112,67,97,23,70,55,117,77,80,75
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Manizales,1869,1701,898,704,501,202,192,59,41,0,0,0
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,TECNOLOGÍA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Andina,Espinal,14,2,24,14,33,14,23,3,31,0,0,0
102327,UNIVERSIDAD DEL QUINDIO,TECNOLOGIA EN INSTRUMENTACIÓN ELECTRONICA,Región Andina,Armenia,62,51,63,26,33,9,70,36,37,36,43,86
102855,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",392,259,285,195,248,99,214,123,253,145,199,122
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",2,0,0,0,0,6,0,1,1,1,0,2
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,TECNOLOGÍA EN ELECTRÓNICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",4,8,8,1,9,1,0,0,0,0,0,0
105652,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDURSTIAL,Región Andina,Medellín,6,41,71,38,49,14,20,29,8,1,2,4
107004,INSTITUTO TECNOLOGICO METROPOLITANO,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA,Región Andina,Medellín,0,245,119,72,161,79,104,91,161,289,401,241
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,TECNOLOGIA EN CONTROL Y AUTOMATIZACION INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,18,15,18,8,17,16,6,15,26,60
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Girón,0,0,113,62,0,89,338,0,0,1,0,0
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,0,0,0,0,7,0,45,4,21,53
108014,INSTITUCION UNIVERSITARIA EAM,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Armenia,0,0,0,0,26,8,21,8,13,7,0,0
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Medellín,0,0,0,174,289,197,223,217,162,156,241,249
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Ibagué,0,0,0,69,0,16,44,0,0,0,0,0
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Neiva,0,0,0,157,257,76,3,37,134,185,61,97
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Sogamoso,0,0,0,224,0,51,100,128,105,100,0,59
