CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
2980,UNIVERSIDAD AUTONOMA DE MANIZALES,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Manizales,28,26,61,54,76,57,73,58,45,31,34,27
17759,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,TECNOLOGIA EN ELECTRONICA,Región Andina,"Bogotá, D.C.",212,192,181,155,164,123,83,71,42,68,87,102
53897,UNIVERSIDAD DE SAN BUENAVENTURA,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",17,23,0,23,31,28,16,22,11,18,15,28
90893,UNIVERSIDAD ECCI,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",323,271,305,276,262,221,265,272,304,322,327,349
91153,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Manizales,2290,2555,1887,2131,1100,1029,592,608,235,215,68,65
101649,INSTITUTO TOLIMENSE DE FORMACION TECNICA PROFESIONAL,TECNOLOGÍA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Andina,Espinal,55,45,57,52,69,54,65,52,62,52,70,63
102327,UNIVERSIDAD DEL QUINDIO,TECNOLOGIA EN INSTRUMENTACIÓN ELECTRONICA,Región Andina,Armenia,153,100,126,128,154,124,172,168,178,171,222,227
102855,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",883,886,945,878,860,646,828,835,851,808,844,760
103233,ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",71,80,79,78,59,60,59,55,51,73,111,122
105344,FUNDACION UNIVERSITARIA COLOMBO GERMANA,TECNOLOGÍA EN ELECTRÓNICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",22,24,27,23,16,8,11,5,0,0,0,0
105652,UNIVERSIDAD ECCI,TECNOLOGIA EN AUTOMATIZACION Y ROBOTICA INDURSTIAL,Región Andina,Medellín,73,73,120,116,114,105,83,95,74,54,53,30
107004,INSTITUTO TECNOLOGICO METROPOLITANO,TECNOLOGIA EN AUTOMATIZACIÓN ELECTRONICA,Región Andina,Medellín,0,172,206,217,313,339,383,386,448,443,480,488
107315,UNIVERSIDAD COOPERATIVA DE COLOMBIA,TECNOLOGIA EN CONTROL Y AUTOMATIZACION INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,18,28,34,31,28,36,31,35,46,95
107757,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Girón,0,0,73,96,142,172,225,239,92,93,61,60
107986,CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,0,0,0,0,7,5,50,51,101,120
108014,INSTITUCION UNIVERSITARIA EAM,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Armenia,0,0,0,0,43,40,52,47,44,45,35,33
108044,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Medellín,0,0,0,66,256,397,481,624,452,552,402,533
108119,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Ibagué,0,0,0,32,31,31,57,57,28,28,23,23
108126,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Andina,Neiva,0,0,0,30,90,116,113,149,173,240,170,215
108129,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Andina,Sogamoso,0,0,0,51,47,80,108,167,138,170,116,139
109017,UNIDADES TECNOLOGICAS DE SANTANDER,TECNOLOGÍA EN IMPLEMENTACIÓN DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Andina,Bucaramanga,0,0,0,0,68,87,153,217,247,352,357,345
109065,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN MANTENIMIENTO ELECTRÓNICO E INSTRUMENTAL INDUSTRIAL,Región Andina,Medellín,0,0,0,0,43,74,128,159,220,252,218,314
109236,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,0,0,0,103,199,328,422,520,443,403
109448,INSTITUCIÓN UNIVERSITARIA COMANDO DE EDUCACIÓN Y DOCTRINA - CEDOC DEL EJÉRCITO NACIONAL,TECNOLOGIA EN SUPERVISIÓN Y MANTENIMIENTO DE SISTEMAS DE COMUNICACIÓN E INFORMÁTICA,Región Andina,Facatativá,0,0,0,0,0,19,27,38,38,48,38,25
109789,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,TECNOLOGÍA EN AUTOMATIZACIÓN ELECTRÓNICA INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,0,0,0,0,0,41,129,131,308,358
110020,FUNDACION UNIVERSITARIA LOS LIBERTADORES,TECNOLOGIA EN ROBOTICA Y AUTOMATIZACION INDUSTRIAL,Región Andina,"Bogotá, D.C.",0,0,0,0,0,0,0,1,10,30,47,69
110051,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Andina,Girón,0,0,0,0,0,0,0,0,30,60,75,75
110055,UNIVERSIDAD DE CALDAS,TECNOLOGIA EN ELECTRONICA  (Tecnólogo en Electrónica Industrial.),Región Andina,Manizales,0,0,0,0,0,0,0,0,26,26,23,23
110139,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Andina,San José de Cúcuta,0,0,0,0,0,0,0,0,31,79,102,103
110167,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Andina,Dosquebradas,0,0,0,0,0,0,0,0,0,0,23,23
110214,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Andina,Ibagué,0,0,0,0,0,0,0,0,25,51,75,131
110219,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Andina,"Bogotá, D.C.",0,0,0,0,0,0,0,52,82,141,151,226
