CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,29,17,39,34,24,10,18,32,45,21,30,57
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,30,10,18,7,1,0,7,3,4,3,10,0
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,TECNOLOGÌA EN INSTRUMENTACIÒN ELECTRÒNICA,Región Pacífico,Santiago de Cali,9,12,13,9,16,6,5,8,8,10,6,0
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,TECNOLOGÍA EN SISTEMAS ELECTRÓNICOS Y DE AUTOMATIZACIÓN,Región Pacífico,Santiago de Cali,23,18,18,17,7,0,0,0,0,0,0,0
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Santiago de Cali,0,0,85,196,198,54,235,141,90,0,0,0
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Pacífico,Pasto,0,0,0,35,46,38,53,0,0,0,34,32
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Popayán,0,0,0,22,72,12,0,23,0,0,0,0
108949,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Palmira,0,0,0,0,0,33,24,0,32,37,30,31
109003,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Cartago,0,0,0,0,0,20,29,0,25,24,29,23
109528,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Buenaventura,0,0,0,0,0,19,0,0,35,18,28,25
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Santiago de Cali,0,0,0,0,0,0,0,16,85,84,6,51
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Popayán,0,0,0,0,0,0,0,68,56,25,0,31
110176,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Tuluá,0,0,0,0,0,0,42,0,0,0,0,0
110871,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Zarzal,0,0,0,0,0,0,0,0,30,0,24,1
