CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2,2023_10,2023_20
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,184,162,161,152,127,104,102,119,133,124,121,154
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,92,84,83,68,56,32,40,42,27,13,17,11
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,TECNOLOGÌA EN INSTRUMENTACIÒN ELECTRÒNICA,Región Pacífico,Santiago de Cali,40,36,36,31,35,25,27,28,23,30,30,0
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,TECNOLOGÍA EN SISTEMAS ELECTRÓNICOS Y DE AUTOMATIZACIÓN,Región Pacífico,Santiago de Cali,82,82,89,92,73,55,39,29,28,8,11,1
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Santiago de Cali,0,0,54,185,314,364,508,619,497,501,212,180
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Pacífico,Pasto,0,0,0,30,61,96,97,97,75,81,42,65
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Popayán,0,0,0,22,76,78,74,74,67,64,0,0
108949,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Palmira,0,0,0,0,0,29,0,57,70,101,103,121
109003,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Cartago,0,0,0,0,0,18,28,26,49,64,73,85
109528,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Buenaventura,0,0,0,0,0,19,16,11,45,52,73,84
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Santiago de Cali,0,0,0,0,0,0,0,11,81,154,90,109
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Popayán,0,0,0,0,0,0,0,19,42,42,39,58
110176,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Tuluá,0,0,0,0,0,0,0,42,31,26,21,19
110871,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Zarzal,0,0,0,0,0,0,0,0,30,24,46,35
