CODIGO_SNIES_PROGRAMA,INSTITUCION_EDUCACION_SUPERIOR,NOMBRE_DEL_PROGRAMA,REGION,MUNICIPIO_OFERTA_PROGRAMA,2018_1,2018_2,2019_1,2019_2,2020_1,2020_2,2021_1,2021_2,2022_1,2022_2
12198,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,29,15,31,27,15,10,15,25,30,16
101749,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Santiago de Cali,30,10,19,8,1,0,7,3,5,3
103049,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,TECNOLOGÌA EN INSTRUMENTACIÒN ELECTRÒNICA,Región Pacífico,Santiago de Cali,6,10,10,7,13,2,4,5,7,6
103358,UNIVERSIDAD AUTONOMA DE OCCIDENTE,TECNOLOGÍA EN SISTEMAS ELECTRÓNICOS Y DE AUTOMATIZACIÓN,Región Pacífico,Santiago de Cali,17,16,16,17,2,0,0,0,0,0
107837,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Santiago de Cali,0,0,54,132,155,49,194,108,70,0
108128,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGIA EN AUTOMATIZACION INDUSTRIAL,Región Pacífico,Pasto,0,0,0,30,31,35,33,0,0,0
108387,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN AUTOMATIZACIÓN INDUSTRIAL,Región Pacífico,Popayán,0,0,0,22,54,0,0,0,0,0
108949,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Palmira,0,0,0,0,0,29,0,33,28,37
109003,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Cartago,0,0,0,0,0,18,22,7,25,24
109528,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Buenaventura,0,0,0,0,0,19,0,0,35,18
109864,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Santiago de Cali,0,0,0,0,0,0,0,11,70,73
110083,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNOLOGÍA EN DESARROLLO DE SISTEMAS ELECTRÓNICOS INDUSTRIALES,Región Pacífico,Popayán,0,0,0,0,0,0,0,19,25,0
110176,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Tuluá,0,0,0,0,0,0,0,43,0,0
110871,UNIVERSIDAD DEL VALLE,TECNOLOGIA EN ELECTRONICA INDUSTRIAL,Región Pacífico,Zarzal,0,0,0,0,0,0,0,0,30,0
